Elongation,? (MPa)
1,0
1.003,0.004197
1.005,0.012621
1.008,0.033741
1.01,0.033832
1.013,0.029684
1.015818,0.051027
1.019,0.051166
1.021,0.051308
1.024,0.060027
1.027,0.073095
1.03,0.086236
1.033,0.099451
1.036,0.117077
1.039,0.117409
1.042,0.11774
1.045,0.13119
1.048,0.135943
1.051,0.140723
1.053,0.167568
1.056,0.163609
1.059,0.181803
1.062,0.186746
1.065,0.218446
1.068,0.23691
1.071,0.250987
1.074,0.292092
1.076,0.315417
1.079,0.356946
1.082,0.394132
1.085,0.431521
1.088,0.473663
1.091,0.515976
1.094,0.585952
1.096,0.624205
1.099,0.667234
1.102,0.710486
1.105,0.763185
1.108,0.825395
1.111,0.883332
1.113,0.946172
1.116,1.004687
1.119,1.091704
1.122,1.160223
1.125,1.243179
1.128,1.317111
1.131,1.396086
1.133,1.475357
1.136,1.574098
1.139,1.663995
1.142,1.763815
1.145,1.854535
1.148,1.950336
1.15,2.061035
1.153,2.167436
1.156,2.264517
1.159,2.391363
1.162,2.489844
1.165,2.608187
1.167,2.736608
1.17,2.8509
1.173,2.97557
1.176,3.115543
1.179,3.251342
1.182,3.388039
1.184,3.515369
1.187,3.643085
1.19,3.776228
1.193,3.909992
1.196,4.04499
1.199,4.165466
1.202,4.271588
1.205,4.428183
1.208,4.569686
1.21,4.681617
1.213,4.824772
1.216,4.928525
1.22,4.947916
1.224,5.010096
1.227,5.083384
1.23,5.202737
1.233,5.276511
1.235,5.388779
1.238,5.488295
1.24,5.50122
1.243,5.61437
1.247,5.73285
1.25,5.80216
1.252,5.87432
1.255,6.0981
