Elongation,? (MPa)
1,0
1.001,0.001927
1.001,0.002294
1.007,0.002916
1.012,0.003214
1.018,0.003938
1.025,0.004335
1.029,0.00497
1.036,0.005357
1.042,0.005357
1.047,0.0075
1.053,0.003214
1.06,0.0075
1.066,0.0075
1.071,0.008571
1.077,0.005357
1.084,0.011786
1.088,0.009643
1.095,0.006429
1.101,0.0075
1.105,0.012857
1.112,0.017143
1.118,0.012857
1.123,0.020357
1.127,0.021429
1.129,0.020357
1.14,0.0225
1.147,0.024643
1.153,0.026786
1.157,0.028929
1.164,0.032143
1.171,0.032143
1.175,0.046071
1.179,0.048214
1.186,0.048214
1.192,0.049286
1.201,0.053571
1.205,0.057857
1.21,0.064286
1.216,0.065357
1.22,0.069643
1.227,0.073929
1.233,0.0825
1.24,0.085714
1.244,0.093214
1.251,0.094286
1.255,0.101786
1.262,0.107143
1.268,0.109286
1.275,0.118929
1.279,0.124286
1.285,0.129643
1.292,0.137143
1.296,0.144643
1.303,0.151071
1.309,0.163929
1.314,0.165
1.318,0.176786
1.324,0.181071
1.333,0.196071
1.338,0.196071
1.344,0.206786
1.348,0.211071
1.355,0.220714
1.359,0.223929
1.366,0.229244
1.37,0.239008
1.379,0.255425
1.398,0.290909
1.404,0.3
1.41,0.304545
1.416,0.304545
1.422,0.318182
1.428,0.340909
1.433,0.34583
1.439,0.35173
1.445,0.363636
1.451,0.372727
1.457,0.381818
1.462,0.4
1.468,0.404545
1.474,0.422727
1.48,0.431818
1.486,0.440909
1.492,0.45014
1.497,0.468182
1.503,0.472727
1.509,0.495455
1.515,0.490909
1.521,0.518182
1.527,0.522727
1.532,0.545455
1.538,0.531818
1.544,0.563636
1.55,0.572727
1.556,0.590909
1.562,0.6
1.567,0.609091
1.573,0.618182
1.579,0.622727
1.585,0.640909
1.591,0.654545
1.597,0.668182
1.602,0.68265
1.607,0.709091
