Elongation,True Stress
1,0
1.006,0.03898
1.011,0.043119
1.017,0.055186
1.023,0.059455
1.028,0.075726
1.034,0.100181
1.04,0.116848
1.045,0.133686
1.051,0.158845
1.056,0.200636
1.062,0.238756
1.068,0.268992
1.073,0.316172
1.079,0.376352
1.085,0.449785
1.09,0.519713
1.096,0.59035
1.101,0.687262
1.107,0.780889
1.113,0.89695
1.118,0.992495
1.124,1.149909
1.129,1.265102
1.135,1.429761
1.141,1.560614
1.146,1.710445
1.152,1.892982
1.157,2.032292
1.163,2.218035
1.169,2.387236
1.174,2.58986
1.18,2.77603
1.186,2.968547
1.191,3.19029
1.197,3.386254
1.202,3.602536
1.208,3.811463
1.214,4.017398
1.219,4.234611
1.225,4.439266
1.231,4.664722
1.236,4.872863
1.242,4.973943
1.247,5.188015
1.253,5.400814
1.259,5.60551
1.264,5.83608
1.27,6.049312
1.276,6.117738
