# Related Details: notavailable
# Additional Notes: experimentaldetails

File Name,Model,Optimized Parameters,RMSE
"Sample3_0.5_radial.csv","Mooney-Rivlin","C10: 0.3163 | C01: 1.1954","0.0119"
"Sample3_0.5_radial.csv","Ogden1","μ1: 0.0131 | α1: 7.0408","0.0187"
"Sample2_0.5_radial.csv","Mooney-Rivlin","C10: 0.3758 | C01: 1.3432","0.0206"
"Sample2_0.5_radial.csv","Ogden1","μ1: 0.0196 | α1: 6.6614","0.0133"
"Sample1_0.5_radial.csv","Mooney-Rivlin","C10: 0.3943 | C01: 1.1764","0.0469"
"Sample1_0.5_radial.csv","Ogden1","μ1: 0.0562 | α1: 4.6816","0.0646"
"Sample3_0.5_circumferential.csv","Mooney-Rivlin","C10: 12.8096 | C01: 41.797","0.1587"
"Sample3_0.5_circumferential.csv","Ogden1","μ1: 0.1819 | α1: 12.9009","0.316"
"Sample2_0.5_circumferential.csv","Mooney-Rivlin","C10: 11.723 | C01: 36.4269","0.1194"
"Sample2_0.5_circumferential.csv","Ogden1","μ1: 0.2178 | α1: 12.2753","0.1555"
