Model Details
Model: NeoHookean, Initial Guess: 1, Bounds: unbounded, RMSE: 0.852, BIC: -27.194

Predictions
Note2: experimentaldetails

Note: test2

x,y_original,NeoHookean_ypred
1.0,0.0,0.0
1.003,0.003039,0.05514770900843464
1.005,0.006093,0.09191333556188619
1.008,0.012218,0.1470632298785019
1.011,0.015314,0.20221572852802966
1.013,0.021497,0.23898598029596632
1.016,0.015395,0.294144938001988
1.019,0.015434,0.3493090239536955
1.021,0.021665,0.3860883880747214
1.024,0.027928,0.4412630738012783
1.027,0.03111,0.4964453334288534
1.029,0.031191,0.5332381579088132
1.032,0.025018,0.588435030135696
1.035,0.043893,0.6436418466712356
1.037,0.044005,0.6804523457343138
1.04,0.050421,0.7356776646996602
1.043,0.044233,0.7909152260055061
1.045,0.05068,0.8277474852002646
1.048,0.060334,0.8830073204488283
1.051,0.063672,0.9382816264353139
1.053,0.063834,0.975139607508631
1.056,0.063995,1.0304398450977785
1.059,0.064155,1.0857567148055558
1.061,0.083604,1.1226442603566984
1.064,0.090253,1.177990609738095
1.066,0.10339,1.2148985332624787
1.069,0.132783,1.2702765260289248
1.072,0.142874,1.3256745266228065
1.074,0.166018,1.3626180161066352
1.077,0.199032,1.4180510386824705
1.079,0.222408,1.4550185665531161
1.082,0.25573,1.5104886720871393
1.084,0.292461,1.5474815996221964
1.087,0.32938,1.602990811205249
1.09,0.3533,1.6585244420661636
1.092,0.393821,1.6955607784204794
1.095,0.431175,1.751136675628195
1.097,0.478739,1.7882018355443214
1.1,0.53988,1.8438219276843082
1.102,0.607938,1.8809171851902518
1.105,0.676402,1.9365833659731946
1.108,0.755116,1.9922780947095928
1.11,0.810644,2.029424101157184
1.112,0.869762,2.0665832844974283
1.115,0.946034,2.122347188101961
1.118,1.016015,2.1781418194776427
1.12,1.113384,2.215355627122051
1.123,1.190917,2.27120288765543
1.125,1.27552,2.3084523651930393
1.128,1.35362,2.3643539979590087
1.13,1.435387,2.4016402971316615
1.133,1.555194,2.4575980144632132
1.136,1.644801,2.51359019191847
1.138,1.741703,2.5509377509076323
1.141,1.842643,2.6069886903956365
1.143,1.9577,2.6443759717975834
1.146,2.062804,2.7004873088362493
1.148,2.168144,2.7379153934762566
1.151,2.267158,2.7940887351892507
1.154,2.380949,2.850300039544359
1.157,2.463901,2.906549869196743
1.159,2.561126,2.9440714337918945
1.162,2.665525,3.0003867068429133
1.164,2.773429,3.03795240946866
1.167,2.878476,3.094334646225888
1.17,2.889127,3.1507577801480418
1.173,2.98605,3.2072223437000162
1.175,3.130779,3.2448886630130085
1.178,3.240577,3.3014234444774715
1.18,3.354697,3.3391370576654316
1.183,3.458455,3.395743496317723
1.185,3.623928,3.4335053547819956
1.188,3.750632,3.490184865687706
1.19,3.870597,3.5279959048599276
1.193,3.962749,3.5847498793818353
1.196,4.048608,3.641549190252614
1.199,4.152384,3.6983943250691467
1.201,4.238004,3.73631677794433
1.204,4.284707,3.7932393563585065
1.207,4.397328,3.8502090353425404
1.21,4.421517,3.90722628493829
1.213,4.491073,3.9642915705375934
1.216,4.559983,4.021405352939588
1.218,4.665076,4.059508376042455
1.22,4.770801,4.0976332902360575
1.223,4.872952,4.154861998464233
1.225,4.993544,4.1930422212439495
1.228,5.067887,4.25035450895513
1.231,5.161836,4.307717530523645
1.233,5.280293,4.3459879450720384
1.236,5.362491,4.403436486322291
1.239,5.449815,4.460936910493656
1.241,5.536821,4.49929955964686
1.244,5.639054,4.556887393951277
1.246,5.763526,4.595308703840665
1.249,5.865758,4.652985105254334
1.251,5.995377,4.691465841018526
1.254,6.083934,4.749231948079849
1.257,6.124491,4.807052417495299
